ID,MnKa1,FeKa1,ZnKa1,GaKa1,ThLa1,RbKa1,SrKa1,Y Ka1,ZrKa1,NbKa1,Source,Type
ID115,413.5134121,6367.338802,50.53124381,21.81131939,25.52797914,243.2689669,6.192492656,52.05200443,98.0266087,29.97807761,Source 2,Source
ID572,425.1795519,6176.415626,42.0681924,19.24131385,25.01633852,230.8612485,6.718365834,46.97601621,101.0639615,27.03023289,Source 2,Source
ID706,403.159202,6058.531461,40.18692594,20.50664585,24.97914562,236.6689638,5.501726049,53.04026488,100.4822885,30.79981601,Source 2,Source
ID733,391.7711151,5989.509345,38.55512445,22.21084719,25.07399829,242.699257,5.603039205,51.51938345,95.5861284,29.77790933,Source 2,Source
ID104,468.3753427,5845.255482,44.17755508,22.98699567,27.22520633,268.4088857,2.747128331,62.54305335,102.1949894,35.38062876,Source 2,Source
ID696,419.3751264,5859.73494,41.35449873,19.46082315,27.35902683,259.3039163,3.063323286,59.78186475,104.0002142,35.09635366,Source 2,Source
ID801,171.7295791,6243.337826,30.53049476,18.57590885,19.23359174,114.8659584,59.65269296,32.05166861,88.18520516,14.33585784,Source 3,Source
ID996,215.3031674,6560.746647,33.04285658,19.85026475,18.5665396,117.5066543,65.55163182,32.56699058,92.07554659,13.7161233,Source 3,Source
ID443,192.96784,6388.976252,36.78577935,19.83124515,19.08246999,110.1353273,60.46590024,29.4069745,86.40965599,14.12490178,Source 3,Source
ID806,287.6532022,4366.0444,43.91023997,15.96181187,17.80709916,129.5915521,26.78864388,18.45922663,87.66310102,17.26268402,Source 4,Source
ID673,297.7333446,4466.094001,41.51040132,17.96322453,16.04030114,136.6653006,26.92275221,16.942473,89.2555379,18.53696906,Source 4,Source
ID089,302.7957059,4540.113302,46.66370737,19.28712383,15.26124447,141.6203596,27.56402191,16.54047311,89.94243531,17.79384968,Source 4,Source
ID9105,351.705296,4555.3896,46.96751668,20.12407529,16.77558175,141.6202669,29.72333066,17.40347558,92.12411136,19.69199187,Source 4,Source
ID1101,324.8638606,4595.796678,36.16446099,17.24612153,17.88288365,143.2215576,27.12191214,17.45026951,93.78651169,17.77688388,Source 4,Source
ID902,335.5020748,5237.95549,37.19487751,19.39433478,21.35087398,175.7216581,33.47669641,20.79102611,113.7487342,22.97601989,Source 4,Source
ID8106,466.4911865,6407.233712,41.00753561,22.19483644,63.84088181,454.1600482,0.89612944,46.07398163,135.233077,68.6408155,Source 5,Source
ID826,410.9731936,6366.487108,41.58274869,21.80751218,63.04755023,419.2612825,1.298475207,45.92197917,135.9275643,63.21447541,Source 5,Source
